Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y
0.12,260.99,59.3500,7.9890,27.2300,8.72,100.00,355.36,0.00,0.00,0.00,0.00,135.4600,8.9338,276.8700,0.57,100.00,180.00,0.00,180.00,0.00,0.00
0.24,260.99,59.3500,7.9967,27.2300,0.06,100.00,350.23,0.00,0.00,0.00,0.00,135.4600,8.7599,276.8700,1.35,100.00,180.00,0.00,180.00,0.00,0.00
0.38,260.99,59.3500,7.9774,27.2300,0.15,100.00,344.95,0.00,0.00,0.00,0.00,135.4600,8.5987,276.8700,1.22,100.00,180.00,0.00,180.00,0.00,0.00
0.50,260.99,59.3500,7.9990,27.2300,0.17,100.00,339.92,0.00,0.00,0.00,0.00,135.4600,8.5996,276.8700,0.01,100.00,180.00,0.00,180.00,0.00,0.00
0.63,260.99,59.3500,7.9848,27.2300,0.11,100.00,334.79,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
0.76,260.99,59.3500,7.9745,27.2300,0.08,100.00,329.76,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
0.88,260.99,59.3500,7.9988,27.2300,0.19,100.00,324.72,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
1.01,260.99,59.3500,7.9895,27.2300,0.07,100.00,319.71,0.00,0.00,0.00,0.00,135.4600,8.5995,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
1.13,260.99,59.3500,7.9761,27.2300,0.11,100.00,314.61,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
1.26,260.99,59.3500,7.9675,27.2300,0.07,100.00,309.61,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
1.39,260.99,59.3501,7.9818,27.2300,0.11,100.00,304.34,0.00,0.00,0.00,0.00,135.4600,8.5979,276.8700,0.02,100.00,180.00,0.00,180.00,0.00,0.00
1.52,260.99,59.3501,7.9685,27.2300,0.10,100.00,299.24,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.02,100.00,180.00,0.00,180.00,0.00,0.00
1.64,260.99,59.3501,7.9946,27.2300,0.21,100.00,294.23,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
1.77,260.99,59.3501,7.9840,27.2300,0.08,100.00,289.19,0.00,0.00,0.00,0.00,135.4600,8.5981,276.8700,0.01,100.00,180.00,0.00,180.00,0.00,0.00
1.89,260.99,59.3501,7.9790,27.2300,0.04,100.00,284.27,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.02,100.00,180.00,0.00,180.00,0.00,0.00
2.02,260.99,59.3502,7.9973,27.2300,0.14,100.00,279.09,0.00,0.00,0.00,0.00,135.4600,8.5995,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
2.15,260.99,59.3502,7.9926,27.2300,0.04,100.00,274.18,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
2.27,260.99,59.3502,7.9830,27.2300,0.08,100.00,269.16,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
2.39,260.99,59.3502,7.9768,27.2300,0.05,100.00,264.22,0.00,0.00,0.00,0.00,135.4600,8.6000,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
2.52,260.99,59.3503,7.9705,27.2300,0.05,100.00,259.28,0.00,0.00,0.00,0.00,135.4600,8.5998,276.8700,0.00,100.00,180.00,0.00,180.00,0.00,0.00
